,0
0,5
1,1
2,9
3,9
4,5
5,5
6,6
7,0
8,6
9,8
10,5
11,0
12,3
13,3
14,1
15,9
16,3
17,0
18,0
19,0
20,2
21,2
22,5
23,4
24,7
25,2
26,5
27,0
28,7
29,1
30,5
31,0
32,3
33,1
34,7
35,6
36,6
37,0
38,3
39,0
40,5
41,5
42,4
43,1
44,3
45,7
46,3
47,1
48,8
49,5
50,4
51,4
52,0
53,4
54,9
55,6
56,0
57,6
58,0
59,5
60,5
61,2
62,8
63,2
64,0
65,6
66,1
67,7
68,1
69,6
70,6
71,1
72,0
73,0
74,7
75,0
76,1
77,1
78,2
79,2
80,9
81,9
82,1
83,8
84,4
85,6
86,2
87,5
88,3
89,5
90,6
91,5
92,5
93,5
94,1
95,5
96,0
97,4
98,1
99,8
100,3
101,5
102,5
103,5
104,1
105,3
106,1
107,0
108,7
109,5
110,0
111,5
112,1
113,9
114,6
115,7
116,5
117,5
118,2
119,0
120,1
121,4
122,6
123,0
124,9
125,5
126,0
127,2
128,2
129,6
130,0
131,1
132,0
133,3
134,4
135,0
136,7
137,1
138,0
139,1
140,5
141,9
142,5
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,0
154,0
155,5
156,7
157,9
158,3
159,2
160,1
161,9
162,6
163,7
164,4
165,6
166,1
167,7
168,6
169,5
170,7
171,0
172,9
173,0
174,7
175,4
176,1
177,1
178,4
179,9
180,0
181,8
182,1
183,0
184,1
185,1
186,5
187,7
188,7
189,2
190,1
191,3
192,2
193,3
194,9
195,2
196,0
197,1
198,9
199,4
200,6
201,5
202,4
203,6
204,2
205,2
206,4
207,9
208,5
209,3
210,1
211,9
212,7
213,8
214,6
215,1
216,7
217,2
218,5
219,6
220,0
221,0
222,0
223,2
224,6
225,7
226,1
227,1
228,2
229,7
230,0
231,1
232,4
233,0
234,7
235,3
236,3
237,0
238,0
239,3
240,5
241,6
242,0
243,9
244,0
245,3
246,6
247,0
248,5
249,0
250,0
251,4
252,4
253,1
254,6
255,0
256,2
257,0
258,2
259,1
260,9
261,0
262,0
263,5
264,6
265,0
266,7
267,4
268,1
269,9
270,1
271,1
272,4
273,3
274,0
275,0
276,6
277,1
278,7
279,7
280,4
281,1
282,1
283,0
284,9
285,7
286,4
287,4
288,7
289,0
290,0
291,4
292,8
293,8
294,1
295,4
296,0
297,3
298,8
299,7
300,6
301,4
302,1
303,4
304,1
305,0
306,7
307,4
308,4
309,4
310,0
311,0
312,0
313,4
314,2
315,5
316,3
317,5
318,6
319,4
320,6
321,1
322,1
323,5
324,7
325,6
326,7
327,5
328,8
329,6
330,6
331,0
332,7
333,4
334,0
335,7
336,0
337,4
338,0
339,2
340,4
341,1
342,9
343,6
344,4
345,0
346,6
347,9
348,5
349,0
350,9
351,3
352,9
353,0
354,2
355,1
356,1
357,3
358,6
359,5
360,3
361,1
362,3
363,4
364,2
365,2
366,3
367,3
368,4
369,3
370,3
371,4
372,0
373,7
374,2
375,3
376,4
377,3
378,9
379,0
380,1
381,0
382,4
383,5
384,0
385,8
386,7
387,3
388,6
389,4
390,1
391,7
392,8
393,6
394,9
395,6
396,5
397,4
398,6
399,0
400,0
401,6
402,5
403,1
404,1
405,4
406,0
407,3
408,2
409,6
410,6
411,0
412,5
413,2
414,0
415,4
416,3
417,7
418,6
419,1
420,9
421,0
422,9
423,4
424,8
425,2
426,3
427,4
428,7
429,5
430,5
431,3
432,8
433,0
434,7
435,4
436,0
437,5
438,0
439,8
440,1
441,0
442,5
443,7
444,4
445,0
446,5
447,6
448,6
449,6
450,6
451,0
452,0
453,0
454,9
455,0
456,1
457,3
458,4
459,2
460,6
461,2
462,7
463,0
464,7
465,4
466,5
467,8
468,0
469,0
470,8
471,0
472,2
473,6
474,4
475,7
476,6
477,7
478,0
479,4
480,1
481,0
482,1
483,6
484,0
485,7
486,1
487,4
488,7
489,9
490,0
491,0
492,7
493,5
494,1
495,9
496,9
497,5
498,5
499,6
500,0
501,6
502,0
503,9
504,9
505,2
506,4
507,8
508,5
509,0
510,3
511,3
512,1
513,9
514,3
515,0
516,0
517,0
518,2
519,2
520,5
521,4
522,7
523,2
524,5
525,0
526,1
527,5
528,1
529,5
530,0
531,3
532,1
533,0
534,3
535,1
536,0
537,3
538,1
539,7
540,6
541,6
542,0
543,3
544,0
545,5
546,5
547,4
548,1
549,3
550,6
551,4
552,3
553,1
554,0
555,0
556,5
557,9
558,4
559,6
560,5
561,7
562,0
563,0
564,5
565,5
566,6
567,6
568,3
569,1
570,6
571,7
572,6
573,1
574,7
575,0
576,1
577,2
578,1
579,1
580,0
581,8
582,1
583,0
584,0
585,7
586,0
587,1
588,9
589,9
590,9
591,5
592,4
593,8
594,6
595,1
596,3
597,5
598,4
599,1
600,2
601,2
602,9
603,9
604,2
605,9
606,9
607,1
608,8
609,4
610,5
611,5
612,3
613,5
614,6
615,0
616,6
617,5
618,1
619,5
620,0
621,1
622,8
623,3
624,5
625,5
626,5
627,1
628,3
629,1
630,0
631,7
632,5
633,0
634,5
635,5
636,1
637,9
638,6
639,7
640,5
641,5
642,2
643,5
644,2
645,0
646,1
647,4
648,6
649,0
650,9
651,5
652,0
653,2
654,2
655,6
656,0
657,1
658,0
659,3
660,4
661,0
662,7
663,1
664,0
665,1
666,5
667,9
668,8
669,0
670,0
671,5
672,7
673,9
674,3
675,2
676,1
677,9
678,6
679,7
680,4
681,6
682,1
683,7
684,6
685,5
686,7
687,0
688,9
689,0
690,7
691,4
692,1
693,1
694,4
695,9
696,0
697,0
698,0
699,1
700,1
701,5
702,7
703,7
704,2
705,2
706,3
707,9
708,2
709,0
710,0
711,5
712,1
713,9
714,4
715,6
716,5
717,2
718,3
719,1
720,9
721,7
722,6
723,0
724,0
725,0
726,2
727,6
728,0
729,7
730,3
731,3
732,0
733,0
734,3
735,5
736,6
737,5
738,0
739,0
740,4
741,0
742,0
743,6
744,0
745,2
746,9
747,0
748,1
749,9
750,1
751,1
752,4
753,3
754,0
755,0
756,6
757,1
758,7
759,7
760,4
761,1
762,1
763,0
764,9
765,7
766,4
767,4
768,7
769,0
770,0
771,4
772,8
773,8
774,4
775,0
776,3
777,8
778,7
779,6
780,4
781,1
782,4
783,1
784,0
785,7
786,4
787,4
788,0
789,0
790,4
791,0
792,0
793,0
794,4
795,2
796,0
797,0
798,4
799,2
800,5
801,3
802,5
803,6
804,0
805,4
806,6
807,1
808,2
809,0
810,0
811,5
812,5
813,1
814,5
815,7
816,6
817,7
818,5
819,6
820,0
821,7
822,4
823,0
824,7
825,0
826,4
827,0
828,2
829,4
830,1
831,9
832,1
833,9
834,1
835,9
836,1
837,9
838,6
839,4
840,0
841,6
842,9
843,5
844,0
845,9
846,3
847,9
848,0
849,2
850,1
851,1
852,3
853,6
854,5
855,3
856,1
857,3
858,4
859,2
860,2
861,3
862,3
863,4
864,3
865,3
866,4
867,3
868,3
869,4
870,3
871,3
872,4
873,3
874,3
875,4
876,3
877,3
878,4
879,3
880,3
881,4
882,3
883,3
884,4
885,0
886,7
887,2
888,3
889,4
890,3
891,9
892,0
893,1
894,0
895,4
896,5
897,0
898,8
899,7
900,3
901,6
902,4
903,1
904,7
905,8
906,6
907,9
908,6
909,5
910,4
911,6
912,0
913,0
914,6
915,5
916,1
917,1
918,4
919,0
920,3
921,2
922,6
923,6
924,0
925,5
926,2
927,0
928,4
929,3
930,7
931,6
932,1
933,9
934,9
935,4
936,8
937,2
938,3
939,9
940,4
941,7
942,5
943,5
944,1
945,3
946,8
947,0
948,7
949,0
950,7
951,0
952,5
953,5
954,0
